id,name,averageRating,price
5ZZELETLWF8P,Apple AirPods Pro (2nd Generation) - Lightning,4.6,199.0
4BCORRKORUO5,Apple AirPods with Charging Case (2nd Generation),4.6,99.0
4R90IGGBL0NM,AirPods (3rd generation) with Lightning Charging Case,4.4,149.99
1M0ZD2FB95PF,Apple AirPods Max - Space Gray,4.5,479.0
4UZOCEPYA4PW,AirPods (3rd generation) with MagSafe Charging Case,4.2,197.5
6W8ZA2RP5G69,Apple EarPods with Lightning Connector,4.4,18.38
5F3AP1O8JKDD,Apple Lightning to 3.5 mm Headphone Jack Adapter,4.5,7.99
2QL2LRI95PSO,Restored Apple AirPods Pro 2 White In Ear Headphones MQD83AM/A (Refurbished),4.1,180.0
,,,
2F8N3M38PL1B,Restored Apple AirPods 3 White In Ear Headphones MPNY3AM/A (Refurbished),4.1,159.0
1VAEDW69HHZO,Apple Wireless Charging Case for AirPods,4.4,63.2
3QZC7404JPT1,Refurbished Apple AirPods 3 White In Ear Headphones MME73AM/A,4.0,136.97
2R2GYHA6B06P,Apple EarPods with 3.5mm headphone plug with mic wired,3.8,18.74
4ADEE78K1N52,Restored Apple AirPods Pro White with Magsafe Charging Case In Ear Headphones MLWK3AM/A (Refurbished),3.4,199.0
7FOF2FHGJLD2,Restored Apple AirPods Generation 2 with Charging Case MV7N2AM/A White (Refurbished),3.3,89.97
42VSQO7MK52U,"Restored Apple True Wireless Headphones with Charging Case, White, VIPRB-MWP22AM/A (Refurbished)",3.7,154.97
2X8PVGTZVZK9,Restored Apple AirPods Pro with Wireless Case White MWP22AM/A (Refurbished),,166.56
6TXQN5IDDAJM,Restored Apple Wireless Bluetooth AirPods 2 (Refurbished),,96.9
37ORSPK716L5,"Restored Apple AirPods 2, Wireless Bluetooth Earphones, with Wireless Charging Case (Refurbished)",2.6,89.0
265UYUSZBML3,Restored Apple Wireless Bluetooth AirPods 2 (Refurbished),5.0,92.99
2DZ8FSJVVK71,"Restored Apple AirPods 2, Wireless Bluetooth Earphones (Refurbished)",2.5,95.76
4YX9PDK4W4IT,Restored Apple AirPods Max Sky Blue Over Ear Headphones MGYL3AM/A (Refurbished),4.0,476.9
3ZXQ8CELFQL1,Restored Apple AirPods Max with Smart Case & Lightning USB-C Cable - Space Gray MGYH3AM/A (Refurbished),3.7,419.99
